PileName,Section,DayZone,Nd_T,h0_m,MinDistToSlabBoundary_m,NearbyBoundarySegments,Classification,Beta,vEd_MPa,vRdc_MPa,EN1992_ratio
168,C400,DAY60,4.5861,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
169,C400,DAY60,10.9519,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
170,C400,DAY60,4.6903,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
171,C400,DAY60,10.3315,0.5300,2.0000,0,INTERIOR,1.15,0.0278,0.3210,0.0865
172,C400,DAY60,4.5875,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
173,C400,DAY60,10.9520,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
174,C400,DAY60,4.5895,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
175,C400,DAY60,10.9504,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
176,C400,DAY60,4.6932,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
177,C400,DAY60,10.3237,0.5300,2.0000,0,INTERIOR,1.15,0.0277,0.3210,0.0864
178,C400,DAY60,4.5785,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0383
179,C400,DAY60,10.9334,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0915
180,C400,DAY60,4.5497,0.5300,5.0000,0,INTERIOR,1.15,0.0122,0.3210,0.0381
181,C400,DAY60,10.9385,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0916
182,C400,DAY60,4.6267,0.5300,3.7400,0,INTERIOR,1.15,0.0124,0.3210,0.0387
183,C400,DAY60,10.4069,0.5300,2.0000,0,INTERIOR,1.15,0.0280,0.3210,0.0871
184,C400,DAY60,4.5970,0.5300,2.4400,0,INTERIOR,1.15,0.0124,0.3210,0.0385
185,C400,DAY60,11.3265,0.5300,2.0000,0,INTERIOR,1.15,0.0304,0.3210,0.0948
186,C400,DAY60,5.0509,0.5300,1.1400,2,EDGE,1.40,0.0165,0.3210,0.0515
187,C400,DAY60,11.9255,0.5300,1.1400,2,EDGE,1.40,0.0390,0.3210,0.1215
189,C500,DAY60,0.3818,0.5300,1.7900,0,INTERIOR,1.15,0.0010,0.3210,0.0031
191,C400,DAY60,8.3082,0.5300,1.7900,0,INTERIOR,1.15,0.0223,0.3210,0.0696
192,C500,DAY130,29.0016,0.6300,0.5000,6,EDGE,1.40,0.0666,0.3060,0.2177
193,C500,DAY60,41.3843,0.5300,0.5000,4,EDGE,1.40,0.1302,0.3210,0.4057
194,C500,DAY60,0.5097,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0041
195,C400,DAY60,7.8753,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0659
196,C500,DAY130,29.7424,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2233
197,C500,DAY60,41.6779,0.5300,0.5000,4,EDGE,1.40,0.1312,0.3210,0.4086
198,C500,DAY60,0.5162,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0042
199,C400,DAY60,7.8991,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0661
200,C500,DAY130,29.7485,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2233
201,C500,DAY60,41.7972,0.5300,0.5000,4,EDGE,1.40,0.1315,0.3210,0.4097
202,C500,DAY60,0.5158,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0042
203,C400,DAY60,7.8977,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0661
204,C500,DAY130,29.7545,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2234
205,C500,DAY60,41.8447,0.5300,0.5000,4,EDGE,1.40,0.1317,0.3210,0.4102
206,C500,DAY60,0.5158,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0042
207,C400,DAY60,7.8977,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0661
208,C500,DAY130,29.7545,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2234
209,C500,DAY60,41.8447,0.5300,0.5000,4,EDGE,1.40,0.1317,0.3210,0.4102
210,C500,DAY60,0.5162,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0042
211,C400,DAY60,7.8991,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0661
212,C500,DAY130,29.7485,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2233
213,C500,DAY60,41.7972,0.5300,0.5000,4,EDGE,1.40,0.1315,0.3210,0.4097
214,C500,DAY60,0.5097,0.5300,4.0000,0,INTERIOR,1.15,0.0013,0.3210,0.0041
215,C400,DAY60,7.8753,0.5300,3.5000,0,INTERIOR,1.15,0.0212,0.3210,0.0659
216,C500,DAY130,29.7424,0.6300,0.5000,6,EDGE,1.40,0.0683,0.3060,0.2233
217,C500,DAY60,41.6779,0.5300,0.5000,4,EDGE,1.40,0.1312,0.3210,0.4086
218,C500,DAY60,0.3818,0.5300,1.7900,0,INTERIOR,1.15,0.0010,0.3210,0.0031
219,C400,DAY60,8.3082,0.5300,1.7900,0,INTERIOR,1.15,0.0223,0.3210,0.0696
220,C500,DAY130,29.0016,0.6300,0.5000,6,EDGE,1.40,0.0666,0.3060,0.2177
221,C500,DAY60,41.3843,0.5300,0.5000,4,EDGE,1.40,0.1302,0.3210,0.4057
