
[19-Aug-2026 13:04:52] run05 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1847.0s
[19-Aug-2026 13:09:50] run05 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=2144.9s
[19-Aug-2026 13:14:57] run05 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2452.6s
[19-Aug-2026 13:20:23] run05 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2778.8s
[19-Aug-2026 13:25:43] run05 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=3098.6s
[19-Aug-2026 13:31:30] run05 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3445.3s
[19-Aug-2026 13:37:10] run05 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3785.8s
[19-Aug-2026 13:43:10] run05 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=4144.9s
[19-Aug-2026 13:49:16] run05 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4511.5s
[19-Aug-2026 13:49:16] run05 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4511.5s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run05_CAMPAIGN.mat
[19-Aug-2026 13:52:34] run06 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=197.7s
[19-Aug-2026 13:56:51] run06 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=454.5s
[19-Aug-2026 14:00:44] run06 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=687.9s
[19-Aug-2026 14:05:09] run06 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=953.3s
[19-Aug-2026 14:09:18] run06 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1201.6s
[19-Aug-2026 14:13:30] run06 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1454.0s
[19-Aug-2026 14:18:04] run06 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1727.9s
[19-Aug-2026 14:22:28] run06 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1992.0s
[19-Aug-2026 14:27:11] run06 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2274.4s
[19-Aug-2026 14:32:42] run06 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2606.4s
[19-Aug-2026 14:37:28] run06 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2892.0s
[19-Aug-2026 14:42:27] run06 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3191.2s
[19-Aug-2026 14:47:50] run06 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3514.0s
[19-Aug-2026 14:52:39] run06 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3802.4s
[19-Aug-2026 14:57:39] run06 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4103.1s
[19-Aug-2026 14:57:39] run06 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4103.1s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run06_CAMPAIGN.mat
[19-Aug-2026 15:01:01] run07 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=201.9s
