FE,IGD_mean,IGD_std,HV_mean,HV_std
6200,0.000165698054179297,0.000114945005311635,41654.021109629,0.000683968423399547
6250,0.000159396451681508,0.000118814407078582,41654.0211281003,0.000687125034334396
6300,0.000154970244965257,0.000122263201215167,41654.0211450152,0.000692947658758336
6350,0.000149435856798325,0.000122086745516116,41654.0211968421,0.000557343073569943
6400,0.000149435856798325,0.000122086745516116,41654.0211968421,0.000557343073569943
6450,0.000153721421713075,0.000118874533041947,41654.0211852514,0.000551830139942535
6500,0.000149435856798325,0.000122086745516116,41654.0211968421,0.000557343073569943
6550,0.000145150291883574,0.000125064757213735,41654.0212084328,0.000562555016867728
6600,0.000153750732039779,0.000118868225189829,41654.0211851119,0.000551807925089933
6650,0.000149967319443301,0.000116886627226895,41654.0211851373,0.000551810261764894
6700,0.000149967319443301,0.000116886627226895,41654.0211851373,0.000551810261764894
6750,0.000149967319443301,0.000116886627226895,41654.0211851373,0.000551810261764894
6800,0.000149039007158232,0.00011549184579224,41654.0211912239,0.000529990367172491
6850,0.000139274201022946,0.000120552900242671,41654.0212261355,0.00054586175974806
6900,0.000131818507801377,0.000109945259727403,41654.0212671565,0.000467769327976204
6950,0.000131818507801377,0.000109945259727403,41654.0212671565,0.000467769327976204
7000,0.000132997743503148,0.000111097775224506,41654.0212554262,0.000463026831828324
7050,0.000122334935692771,0.000115459008413411,41654.021297705,0.000459558527104359
7100,0.000126649810934225,0.000113124723058255,41654.0212859747,0.000455524549838734
7150,0.000125262226209561,0.000111052278367166,41654.0212988212,0.000450530893683809
7200,0.000129577101451016,0.000108502976875714,41654.0212870909,0.00044644568830122
7250,0.000125262226209561,0.000111052278367166,41654.0212988212,0.000450530893683809
7300,0.000125262226209561,0.000111052278367166,41654.0212988212,0.000450530893683809
7350,0.000129547791124312,0.000108503132205531,41654.0212872305,0.000446440164315072
7400,0.000127280172304953,0.000107723276384049,41654.021300128,0.000432152319259785
7450,0.000124775769817785,0.000110714696833416,41654.0213001406,0.000442203032518003
7500,0.000129090645059239,0.000108177512964003,41654.0212884104,0.000438076717479312
7550,0.000133376209973989,0.000105398055442289,41654.0212768197,0.000433580771487089
7600,0.000131571204709558,0.000104965920567092,41654.0212886895,0.00042790934380135
7650,0.000131541363510189,0.000104966409476111,41654.0212970654,0.000424850380159091
7700,0.000133803228839679,9.94826672945422e-05,41654.0212736303,0.00041908184551088
7750,0.00013150515921828,9.5517121603489e-05,41654.0212982071,0.000362956837148696
7800,0.000128383960282612,9.98131123233246e-05,41654.0212982071,0.000362982049140971
7850,0.000136955090112112,9.35411251645909e-05,41654.0212750257,0.000352292533920002
7900,0.000132669525197362,9.68261283107219e-05,41654.0212866164,0.000357871450674043
7950,0.000133736137567972,9.19470655461146e-05,41654.0212912043,0.000339084141037381
8000,0.000134759162605568,9.35456917647068e-05,41654.0212792654,0.000346339935870738
8050,0.000139044727520318,9.00383877150997e-05,41654.0212676747,0.000340313271775116
8100,0.000139044727520318,9.00383877150997e-05,41654.0212676747,0.000340313271775116
8150,0.00013975034952179,8.8796842602202e-05,41654.0212681625,0.000348513428182436
8200,0.00013975034952179,8.8796842602202e-05,41654.0212681625,0.000348513428182436
8250,0.000142618153432476,9.06873206000203e-05,41654.0212440056,0.000360473205201102
8300,0.000142618153432476,9.06873206000203e-05,41654.0212440056,0.000360473205201102
8350,0.000138332588517725,9.43385379822594e-05,41654.0212555963,0.000366942451548706
8400,0.000131452621146013,9.67000124761505e-05,41654.0212704176,0.000372522840975434
8450,0.000130420583713689,9.51455210241031e-05,41654.0212821479,0.000366100524551792
8500,0.000126135018798939,9.80820461702117e-05,41654.0212937386,0.00037124216520381
8550,0.000121951676546149,9.50674538239336e-05,41654.021293764,0.000371240608559754
8600,0.000120134567654304,9.43772345562833e-05,41654.0213138701,0.000352075857848342
8650,0.00011321184165627,8.67439180809986e-05,41654.0213362684,0.00030453399758637
8700,0.000114888265397254,8.76168486190372e-05,41654.0213181321,0.000333177458559382
8750,0.000117820548447845,8.34445378141453e-05,41654.0213182717,0.000289894584103295
8800,0.000117820548447845,8.34445378141453e-05,41654.0213182717,0.000289894584103295
8850,0.000113534983533095,8.61318056488318e-05,41654.0213298624,0.000294896161782355
8900,0.000109123731151216,8.84931160099407e-05,41654.0213422326,0.000299140421522065
8950,0.000104769082301102,9.05873723274807e-05,41654.021354311,0.000302894769939388
9000,0.000100512827713056,9.24541758695784e-05,41654.0213657621,0.000306322573870671
9050,9.18366404905747e-05,9.06840409658666e-05,41654.0213929816,0.000270275672458393
9100,9.18366404905747e-05,9.06840409658666e-05,41654.0213929816,0.000270275672458393
9150,8.75510755758246e-05,9.1917904597025e-05,41654.0214045723,0.000272364126654682
9200,9.18366404905747e-05,9.06840409658666e-05,41654.0213929816,0.000270275672458393
9250,9.18366404905747e-05,9.06840409658666e-05,41654.0213929816,0.000270275672458393
9300,9.61222054053249e-05,8.92204608132442e-05,41654.0213813909,0.000267652214256807
9350,9.61222054053249e-05,8.92204608132442e-05,41654.0213813909,0.000267652214256807
9400,9.17924604411814e-05,9.06440363586286e-05,41654.0213932608,0.000270143768621247
9450,9.0628094462099e-05,8.86909720476405e-05,41654.0214048514,0.000272187320464549
9500,9.0628094462099e-05,8.86909720476405e-05,41654.0214048514,0.000272187320464549
9550,8.63425295473488e-05,8.98925949351572e-05,41654.0214164421,0.000273741791700338
9600,8.20862749593027e-05,9.08851814150108e-05,41654.0214278932,0.000274865130075165
9650,8.02708064129169e-05,8.9311412776666e-05,41654.0214399717,0.000258604529095656
9700,8.02708064129169e-05,8.9311412776666e-05,41654.0214399717,0.000258604529095656
9750,8.57356070294387e-05,9.0475632094872e-05,41654.0214166507,0.00025708066442817
9800,9.00211719441889e-05,8.93119885175383e-05,41654.02140506,0.0002554346091475
9850,9.4306736858939e-05,8.79171418119622e-05,41654.0213934694,0.000253229654892766
9900,9.00211719441889e-05,8.93119885175383e-05,41654.02140506,0.0002554346091475
9950,9.00211719441889e-05,8.93119885175383e-05,41654.02140506,0.0002554346091475
10000,9.00211719441889e-05,8.93119885175383e-05,41654.02140506,0.0002554346091475
10050,9.00211719441889e-05,8.93119885175383e-05,41654.02140506,0.0002554346091475
10100,8.57062967027346e-05,9.04611246456669e-05,41654.0214167903,0.000256998290957898
10150,8.57062967027346e-05,9.04611246456669e-05,41654.0214167903,0.000256998290957898
10200,8.99918616174848e-05,8.92987471782974e-05,41654.0214051996,0.000255358258592625
10250,8.99918616174848e-05,8.92987471782974e-05,41654.0214051996,0.000255358258592625
10300,8.88126259157131e-05,8.72615898292839e-05,41654.0214169299,0.000256879761640579
10350,9.31275011571674e-05,8.59084981844377e-05,41654.0214051996,0.000255321987688033
10400,9.31275011571674e-05,8.59084981844377e-05,41654.0214051996,0.000255321987688033
10450,8.56516533713861e-05,9.04122615649977e-05,41654.0214172781,0.000256698909489825
