[2026-09-12 16:04:27] === watchdog_campaign start: Proj=A Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-12 16:04:30] ----- Bat dau run01 (1/20) -----
[2026-09-12 16:46:56] run01 : poll - elapsed=2542s log_stale=72s
[2026-09-12 16:47:16] run01 : poll - elapsed=2562s log_stale=92s
[2026-09-12 16:47:37] run01 : poll - elapsed=2582s log_stale=112s
[2026-09-12 16:47:57] run01 : poll - elapsed=2602s log_stale=132s
[2026-09-12 16:48:17] run01 : poll - elapsed=2623s log_stale=12s
[2026-09-12 16:48:37] run01 : poll - elapsed=2643s log_stale=32s
[2026-09-12 16:48:57] run01 : poll - elapsed=2663s log_stale=52s
[2026-09-12 16:49:17] run01 : poll - elapsed=2683s log_stale=72s
[2026-09-12 16:49:37] run01 : poll - elapsed=2703s log_stale=92s
[2026-09-12 16:49:57] run01 : poll - elapsed=2723s log_stale=112s
[2026-09-12 16:50:17] run01 : poll - elapsed=2743s log_stale=132s
[2026-09-12 16:50:37] run01 : poll - elapsed=2763s log_stale=11s
[2026-09-12 16:50:57] run01 : poll - elapsed=2783s log_stale=31s
[2026-09-12 16:51:17] run01 : poll - elapsed=2803s log_stale=51s
[2026-09-12 16:51:37] run01 : poll - elapsed=2823s log_stale=71s
[2026-09-12 16:51:57] run01 : poll - elapsed=2843s log_stale=91s
[2026-09-12 16:52:17] run01 : poll - elapsed=2863s log_stale=111s
[2026-09-12 16:52:37] run01 : poll - elapsed=2883s log_stale=131s
[2026-09-12 16:52:57] run01 : poll - elapsed=2903s log_stale=10s
[2026-09-12 16:53:17] run01 : poll - elapsed=2923s log_stale=30s
[2026-09-12 16:53:37] run01 : poll - elapsed=2943s log_stale=50s
[2026-09-12 16:53:57] run01 : poll - elapsed=2963s log_stale=70s
[2026-09-12 16:54:17] run01 : poll - elapsed=2983s log_stale=90s
[2026-09-12 16:54:37] run01 : poll - elapsed=3003s log_stale=110s
[2026-09-12 16:54:57] run01 : poll - elapsed=3023s log_stale=130s
[2026-09-12 16:55:17] run01 : THANH CONG - D:\ResearchLab\02_Projects\02_Projects\MOSFOA paper 2\code\results\MOSFOA2_A_Np8_Maxit20_run01_FINAL.mat da xuat hien.
[2026-09-12 16:55:17] ----- Bat dau run02 (2/20) -----
[2026-09-12 16:55:21] run02 : launching MATLAB (attempt 1)
[2026-09-12 16:55:41] run02 : poll - elapsed=20s log_stale=9s
[2026-09-12 16:56:01] run02 : poll - elapsed=40s log_stale=16s
[2026-09-12 16:56:21] run02 : poll - elapsed=60s log_stale=36s
[2026-09-12 16:56:41] run02 : poll - elapsed=80s log_stale=56s
[2026-09-12 16:57:01] run02 : poll - elapsed=100s log_stale=76s
[2026-09-12 16:57:21] run02 : poll - elapsed=120s log_stale=96s
[2026-09-12 16:57:41] run02 : poll - elapsed=140s log_stale=116s
[2026-09-12 16:58:01] run02 : poll - elapsed=160s log_stale=136s
[2026-09-12 16:58:21] run02 : poll - elapsed=180s log_stale=156s
[2026-09-12 16:58:41] run02 : poll - elapsed=200s log_stale=176s
[2026-09-12 16:59:01] run02 : poll - elapsed=220s log_stale=11s
[2026-09-12 16:59:21] run02 : poll - elapsed=240s log_stale=32s
[2026-09-12 16:59:41] run02 : poll - elapsed=260s log_stale=52s
[2026-09-12 17:00:01] run02 : poll - elapsed=280s log_stale=72s
[2026-09-12 17:00:21] run02 : poll - elapsed=300s log_stale=92s
[2026-09-12 17:00:41] run02 : poll - elapsed=320s log_stale=112s
[2026-09-12 17:01:01] run02 : poll - elapsed=340s log_stale=132s
[2026-09-12 17:01:21] run02 : poll - elapsed=360s log_stale=11s
[2026-09-12 17:01:41] run02 : poll - elapsed=380s log_stale=31s
[2026-09-12 17:02:01] run02 : poll - elapsed=400s log_stale=51s
[2026-09-12 17:02:21] run02 : poll - elapsed=420s log_stale=71s
[2026-09-12 17:02:41] run02 : poll - elapsed=440s log_stale=91s
[2026-09-12 17:03:01] run02 : poll - elapsed=460s log_stale=111s
[2026-09-12 17:03:21] run02 : poll - elapsed=480s log_stale=131s
[2026-09-12 17:03:41] run02 : poll - elapsed=500s log_stale=11s
[2026-09-12 17:04:01] run02 : poll - elapsed=520s log_stale=31s
