[2026-09-11 17:56:52] === watchdog_campaign start: Proj=B Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-11 17:56:55] ----- Bat dau run01 (1/20) -----
[2026-09-11 19:23:47] run02 : poll - elapsed=1221s log_stale=40s
[2026-09-11 19:24:07] run02 : poll - elapsed=1241s log_stale=60s
[2026-09-11 19:24:27] run02 : poll - elapsed=1261s log_stale=80s
[2026-09-11 19:24:47] run02 : poll - elapsed=1281s log_stale=100s
[2026-09-11 19:25:07] run02 : poll - elapsed=1301s log_stale=120s
[2026-09-11 19:25:27] run02 : poll - elapsed=1321s log_stale=140s
[2026-09-11 19:25:47] run02 : poll - elapsed=1341s log_stale=160s
[2026-09-11 19:26:08] run02 : poll - elapsed=1361s log_stale=180s
[2026-09-11 19:26:28] run02 : poll - elapsed=1381s log_stale=14s
[2026-09-11 19:26:48] run02 : poll - elapsed=1401s log_stale=34s
[2026-09-11 19:27:08] run02 : poll - elapsed=1421s log_stale=54s
[2026-09-11 19:27:28] run02 : poll - elapsed=1441s log_stale=74s
[2026-09-11 19:27:48] run02 : poll - elapsed=1461s log_stale=94s
[2026-09-11 19:28:08] run02 : poll - elapsed=1481s log_stale=114s
[2026-09-11 19:28:28] run02 : poll - elapsed=1501s log_stale=134s
[2026-09-11 19:28:48] run02 : poll - elapsed=1521s log_stale=154s
[2026-09-11 19:29:08] run02 : poll - elapsed=1541s log_stale=174s
[2026-09-11 19:29:28] run02 : poll - elapsed=1561s log_stale=13s
[2026-09-11 19:29:48] run02 : poll - elapsed=1581s log_stale=33s
[2026-09-11 19:30:08] run02 : poll - elapsed=1601s log_stale=53s
[2026-09-11 19:30:28] run02 : poll - elapsed=1621s log_stale=73s
[2026-09-11 19:30:48] run02 : poll - elapsed=1642s log_stale=93s
[2026-09-11 19:31:08] run02 : poll - elapsed=1662s log_stale=113s
[2026-09-11 19:31:28] run02 : poll - elapsed=1682s log_stale=133s
[2026-09-11 19:31:48] run02 : poll - elapsed=1702s log_stale=153s
[2026-09-11 19:32:08] run02 : poll - elapsed=1722s log_stale=173s
[2026-09-11 19:32:28] run02 : poll - elapsed=1742s log_stale=10s
[2026-09-11 19:32:48] run02 : poll - elapsed=1762s log_stale=30s
[2026-09-11 19:33:08] run02 : poll - elapsed=1782s log_stale=50s
[2026-09-11 19:33:28] run02 : poll - elapsed=1802s log_stale=70s
[2026-09-11 19:33:48] run02 : poll - elapsed=1822s log_stale=90s
[2026-09-11 19:34:08] run02 : poll - elapsed=1842s log_stale=110s
[2026-09-11 19:34:28] run02 : poll - elapsed=1862s log_stale=130s
[2026-09-11 19:34:48] run02 : poll - elapsed=1882s log_stale=150s
[2026-09-11 19:35:08] run02 : poll - elapsed=1902s log_stale=170s
[2026-09-11 19:35:28] run02 : poll - elapsed=1922s log_stale=5s
[2026-09-11 19:35:48] run02 : poll - elapsed=1942s log_stale=25s
[2026-09-11 19:36:08] run02 : poll - elapsed=1962s log_stale=45s
[2026-09-11 19:36:28] run02 : poll - elapsed=1982s log_stale=65s
[2026-09-11 19:36:48] run02 : poll - elapsed=2002s log_stale=85s
[2026-09-11 19:37:08] run02 : poll - elapsed=2022s log_stale=105s
[2026-09-11 19:37:28] run02 : poll - elapsed=2042s log_stale=125s
[2026-09-11 19:37:48] run02 : poll - elapsed=2062s log_stale=145s
[2026-09-11 19:38:08] run02 : poll - elapsed=2082s log_stale=165s
[2026-09-11 19:38:28] run02 : poll - elapsed=2102s log_stale=1s
[2026-09-11 19:38:48] run02 : poll - elapsed=2122s log_stale=21s
[2026-09-11 19:39:08] run02 : poll - elapsed=2142s log_stale=41s
[2026-09-11 19:39:28] run02 : poll - elapsed=2162s log_stale=61s
[2026-09-11 19:39:48] run02 : poll - elapsed=2182s log_stale=81s
[2026-09-11 19:40:08] run02 : poll - elapsed=2202s log_stale=101s
[2026-09-11 19:40:28] run02 : poll - elapsed=2222s log_stale=121s
[2026-09-11 19:40:48] run02 : poll - elapsed=2242s log_stale=141s
[2026-09-11 19:41:08] run02 : poll - elapsed=2262s log_stale=161s
[2026-09-11 19:41:28] run02 : poll - elapsed=2282s log_stale=181s
[2026-09-11 19:41:48] run02 : poll - elapsed=2302s log_stale=15s
[2026-09-11 19:42:08] run02 : poll - elapsed=2322s log_stale=35s
