frame,pile_type,orientation,l0_m,P_X_T,P_Y_T,l_case1_M1,l_case2_M1,l_case4_M1,l_tt_M1,l_tt_M2,l_tt_M3,l1_M6,l_tt_M6,fem_length_m
13,BTCT_D800,vertical,9.32,0.272235362010352,0.408411677321266,11.611070315398058,10.857889504406254,,11.611070315398058,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
14,BTCT_D800,raked_6to1,9.56373779358672,0.688386440423556,5.568772120646624,14.010964831404236,11.255735272087694,,14.010964831404236,15.621462001551864,13.10406345355964,5.233109948878202,14.79684774246492,25.7514269447658
15,BTCT_D800,raked_6to1,9.080956269516705,0.627249667135542,4.892511402850931,13.299344784767024,10.75077684811446,,13.299344784767024,15.138680477481852,12.621281929489625,5.233109948878202,14.314066218394906,25.7514269447658
16,BTCT_D800,raked_6to1,9.080956269516705,0.104474373878054,5.05931145563729,13.35691620642248,10.554565593718712,,13.35691620642248,15.138680477481852,12.621281929489625,5.233109948878202,14.314066218394906,25.7514269447658
17,BTCT_D800,raked_6to1,9.56373779358672,0.154379161419856,5.849762866841123,14.102621484806486,11.056602275285124,,14.102621484806486,15.621462001551864,13.10406345355964,5.233109948878202,14.79684774246492,25.7514269447658
18,BTCT_D800,vertical,11.33,1.00007844463748,0.211563080021145,13.513875035588736,13.132689702809248,,13.513875035588736,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
19,BTCT_D800,vertical,11.33,0.910299164529641,0.179348939414129,13.496094924674455,13.10120556749688,,13.496094924674455,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
20,BTCT_D800,vertical,11.33,0.756336906317524,0.201495888986612,13.508325865658955,13.046464263649238,,13.508325865658955,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
21,BTCT_D800,vertical,11.33,0.698210912912688,0.160704046300568,13.485773188258586,13.02554673577117,,13.485773188258586,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
22,BTCT_D800,vertical,11.33,0.622117363929369,0.173568113801794,13.49289711693704,12.997951769840586,,13.49289711693704,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
23,BTCT_D800,vertical,11.33,0.539094836194093,0.186648830620972,13.50012992094407,12.96756676478354,,13.50012992094407,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
24,BTCT_D800,vertical,11.33,0.456110132759083,0.213740324359353,13.515074294678886,12.936902179335164,,13.515074294678886,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
25,BTCT_D800,vertical,11.33,0.374691712012416,0.265066776408723,13.543256683708943,12.906527025179432,,13.543256683708943,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
26,BTCT_D800,vertical,11.33,0.289335801706383,0.285851811971714,13.55462098330218,12.87437064373875,,13.55462098330218,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
27,BTCT_D800,vertical,11.33,0.196342831501924,0.326671941604535,13.576858906939531,12.83896786844837,,13.576858906939531,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
28,BTCT_D800,vertical,11.33,0.172710532798934,0.401050152375905,13.617105911192914,12.829908898781998,,13.617105911192914,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
29,BTCT_D800,vertical,11.33,0.210634059331667,0.349008528834159,13.588982374300024,12.84443386731131,,13.588982374300024,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
30,BTCT_D800,vertical,11.33,0.259436573620631,0.434559793889865,13.635124358507358,12.863030170011989,,13.635124358507358,17.387724207965146,14.87032565997292,5.233109948878202,16.5631099488782,24.7464285714286
