frame,top_joint,bottom_joint,orig_bot_X,orig_bot_Y,orig_bot_Z,fem_length_m,method,l_tt,new_X,new_Y,new_Z
23,182,54,30.6,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,30.6,6.0,-11.771948470228494
24,207,56,35.7,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,35.7,6.0,-11.771948470228494
25,231,58,40.8,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,40.8,6.0,-11.771948470228494
26,253,60,45.9,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,45.9,6.0,-11.771948470228494
27,275,62,51.0,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,51.0,6.0,-11.771948470228494
28,299,64,56.1,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,56.1,6.0,-11.771948470228494
29,362,66,66.3,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,66.3,6.0,-11.771948470228494
30,387,69,71.4,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,71.4,6.0,-11.771948470228494
31,91,80,6.19106606736212,4.84461573032765,-18.9062957306634,24.74341103277305,M2_NEW2,17.53494277929022,7.3589839807595085,5.050114483418098,-11.796038873733856
32,63,82,14.208933932638,7.15538426967236,-18.9062957306634,24.743411032773068,M2_NEW2,17.013997990766633,12.956612408235731,6.93503444133179,-11.28219167007974
33,324,84,57.191066067362,7.15538426967234,-18.9062957306635,24.74341103277317,M2_NEW2,17.013997990766637,58.443387591764285,6.935034441331774,-11.282191670079744
34,344,86,65.2089339326378,4.84461573032764,-18.9062957306635,24.74341103277314,M2_NEW2,17.53494277929022,64.04101601924043,5.050114483418093,-11.796038873733867
35,16,88,-6.7e-15,18.0,-21.25,26.75,M2_NEW2,13.251948470228491,-2.8710047354686945e-15,18.0,-7.751948470228491
36,36,90,5.09999999999999,18.0,-21.25,26.75,M2_NEW2,13.251948470228491,5.099999999999995,18.0,-7.751948470228491
37,10,92,9e-16,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,8.991358781376256e-16,-5.25,-15.540698470228492
38,30,94,5.1,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,5.1,-5.25,-15.540698470228492
39,115,97,15.3,18.0,-21.25,26.75,M2_NEW2,13.251948470228491,15.3,18.0,-7.751948470228491
40,106,99,15.3,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,15.3,-5.25,-15.540698470228492
41,131,101,20.4,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,20.4,-5.25,-15.540698470228492
42,156,103,25.5,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,25.5,-5.25,-15.540698470228492
43,180,105,30.6,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,30.6,-5.25,-15.540698470228492
44,137,107,20.4,18.0,-21.25,26.75,M2_NEW2,13.251948470228491,20.4,18.0,-7.751948470228491
45,205,109,35.7,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,35.7,-5.25,-15.540698470228492
46,229,111,40.8,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,40.8,-5.25,-15.540698470228492
47,251,116,45.9,-5.25,-17.2,22.7,M2_NEW2,21.04069847022849,45.9,-5.25,-15.540698470228492
