frame,top_joint,bottom_joint,orig_bot_X,orig_bot_Y,orig_bot_Z,fem_length_m,method,l_tt,new_X,new_Y,new_Z
36,36,90,5.09999999999999,18.0,-21.25,26.75,M2_NEW,12.889063303518338,5.099999999999995,18.0,-7.389063303518338
37,10,92,9e-16,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,8.98946896809965e-16,-5.25,-15.177813303518338
38,30,94,5.1,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,5.1,-5.25,-15.177813303518338
39,115,97,15.3,18.0,-21.25,26.75,M2_NEW,12.889063303518338,15.3,18.0,-7.389063303518338
40,106,99,15.3,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,15.3,-5.25,-15.177813303518338
41,131,101,20.4,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,20.4,-5.25,-15.177813303518338
42,156,103,25.5,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,25.5,-5.25,-15.177813303518338
43,180,105,30.6,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,30.6,-5.25,-15.177813303518338
44,137,107,20.4,18.0,-21.25,26.75,M2_NEW,12.889063303518338,20.4,18.0,-7.389063303518338
45,205,109,35.7,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,35.7,-5.25,-15.177813303518338
46,229,111,40.8,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,40.8,-5.25,-15.177813303518338
47,251,116,45.9,-5.25,-17.2,22.7,M2_NEW,20.677813303518338,45.9,-5.25,-15.177813303518338
48,162,118,25.5,18.0,-21.25,26.75,M2_NEW,12.889063303518338,25.5,18.0,-7.389063303518338
