frame,pile_type,top_joint,bottom_joint,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,status,spring_K33_tm,orientation
85,BTCT_D800,203,200,35.7,-10.5,5.5,35.7,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
86,BTCT_D800,391,202,71.4,18.0,5.5,71.4,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
87,BTCT_D800,223,204,40.8,-21.0,5.5,40.8,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
88,BTCT_D800,2541,206,0.0,26.0,5.5,9e-16,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
89,BTCT_D800,225,208,40.8,-15.75,5.5,40.8,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
90,BTCT_D800,404,210,5.1,26.0,5.5,5.1,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
91,BTCT_D800,227,214,40.8,-10.5,5.5,40.8,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
92,BTCT_D800,2545,216,10.2,26.0,5.5,10.2,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
93,BTCT_D800,245,218,45.9,-21.0,5.5,45.9,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
94,BTCT_D800,407,220,15.3,26.0,5.5,15.3,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
95,BTCT_D800,247,222,45.9,-15.75,5.5,45.9,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
96,BTCT_D800,409,224,20.4,26.0,5.5,20.4,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
97,BTCT_D800,249,226,45.9,-10.5,5.5,45.9,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
98,BTCT_D800,2551,228,25.5,26.0,5.5,25.5,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
99,BTCT_D800,267,230,51.0,-21.0,5.5,51.0,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
100,BTCT_D800,412,232,30.6,26.0,5.5,30.6,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
101,BTCT_D800,269,234,51.0,-15.75,5.5,51.0,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
103,BTCT_D800,414,236,35.7,26.0,5.5,35.7,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
104,BTCT_D800,271,238,51.0,-10.5,5.5,51.0,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
105,BTCT_D800,2557,240,40.8,26.0,5.5,40.8,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
106,BTCT_D800,291,242,56.1,-21.0,5.5,56.1,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
107,BTCT_D800,417,244,45.9,26.0,5.5,45.9,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
108,BTCT_D800,293,246,56.1,-15.75,5.5,56.1,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
109,BTCT_D800,419,248,51.0,26.0,5.5,51.0,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
110,BTCT_D800,295,250,56.1,-10.5,5.5,56.1,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
111,BTCT_D800,2563,252,56.1,26.0,5.5,56.1,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
112,BTCT_D800,316,254,61.2,-21.0,5.5,61.2,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
113,BTCT_D800,424,256,61.2,26.0,5.5,61.2,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
114,BTCT_D800,354,258,66.3,-21.0,5.5,66.3,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
115,BTCT_D800,426,260,66.3,26.0,5.5,66.3,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
116,BTCT_D800,356,262,66.3,-15.75,5.5,66.3,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
117,BTCT_D800,2569,264,71.4,26.0,5.5,71.4,26.0,-22.7,28.2,,treatment_spring,3000000.0,vertical
119,BTCT_D800,358,266,66.3,-10.5,5.5,66.3,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
120,BTCT_D800,379,268,71.4,-21.0,5.5,71.4,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
121,BTCT_D800,381,270,71.4,-15.75,5.5,71.4,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
122,BTCT_D800,383,272,71.4,-10.5,5.5,71.4,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
123,BTCT_D800,95,274,10.2,-10.95,5.5,6.65110708078082,-11.5696479700224,-16.1031815003262,21.9015080643976,5.997,treatment_spring,166015.0,raked_6to1
125,BTCT_D800,98,276,10.2,-16.2,5.5,6.80616437947842,-16.793540758746,-15.2130505808513,20.9976397534656,6.012,treatment_spring,144666.0,raked_6to1
126,BTCT_D800,57,280,10.2,-15.3,5.5,13.5938356205215,-14.7064592412541,-15.2130505808513,20.9976397534656,6.012,treatment_spring,144666.0,raked_6to1
127,BTCT_D800,59,282,10.2,-10.05,5.5,13.7488929192191,-9.43035202997762,-16.1031815003262,21.9015080643976,5.997,treatment_spring,166015.0,raked_6to1
128,BTCT_D800,318,284,61.2,-15.3,5.5,57.8061643794785,-14.706459241254,-15.2130505808514,20.9976397534657,6.012,treatment_spring,144666.0,raked_6to1
129,BTCT_D800,320,286,61.2,-10.05,5.5,57.6511070807808,-9.43035202997762,-16.1031815003262,21.9015080643976,5.997,treatment_spring,166015.0,raked_6to1
132,BTCT_D800,348,288,61.2,-10.95,5.5,64.7488929192192,-11.5696479700224,-16.1031815003262,21.9015080643976,5.997,treatment_spring,166015.0,raked_6to1
135,BTCT_D800,352,290,61.2,-16.2,5.5,64.5938356205214,-16.7935407587461,-15.2130505808514,20.9976397534657,6.012,treatment_spring,144666.0,raked_6to1
136,BTCT_D800,340,292,61.2,17.55,5.5,65.5355105900628,16.7811409791022,-20.8868144533132,26.7516686071008,5.993,treatment_spring,758640.0,raked_6to1
137,BTCT_D800,330,294,61.2,18.45,5.5,56.8644894099371,19.2188590208978,-20.8868144533132,26.7516686071008,5.993,treatment_spring,758640.0,raked_6to1
138,BTCT_D800,87,296,10.2,17.55,5.5,5.8644894099372,16.7811409791022,-20.8868144533132,26.7516686071008,5.993,treatment_spring,758640.0,raked_6to1
139,BTCT_D800,68,298,10.2,18.45,5.5,14.535510590063,19.2188590208979,-20.8868144533132,26.7516686071008,5.993,treatment_spring,758640.0,raked_6to1
140,Steel_D1016,38,300,-0.650000000000005,24.0,5.5,-0.650050129348696,24.0011334324062,-23.1142431502572,28.6142431727492,25220.999,treatment_spring,3500000.0,raked_6to1
141,Steel_D1016,42,302,4.44999999999999,24.0,5.5,3.75026264264917,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
142,Steel_D1016,70,307,9.54999999999999,24.0,5.5,8.85026264264927,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
