frame,pile_type,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,orientation,spring_K33_tm,Y_s,Z_s,on_segment,H0_vertical_m,H0_along_axis_m,applicable_cases,D_m,t_m,E_Tm2,I_m4,b_equiv_m
48,BTCT_D800,25.5,18.0,5.5,25.5,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
49,BTCT_D800,51.0,-5.25,5.5,51.0,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
50,BTCT_D800,56.1,-5.25,5.5,56.1,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
51,BTCT_D800,66.3,-5.25,5.5,66.3,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
52,BTCT_D800,30.6,18.0,5.5,30.6,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
53,BTCT_D800,71.4,-5.25,5.5,71.4,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
54,BTCT_D800,10.2,-5.7,5.5,6.52565746832526,-6.34300994304307,-16.8872441394185,22.6958796918043,6.002,raked_6to1,191081.0,-6.142253867073856,-9.897655045469742,True,15.397655045469742,15.404004978648299,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
55,BTCT_D800,10.2,-4.8,5.5,13.8743425316748,-4.15699005695693,-16.8872441394184,22.6958796918042,6.002,raked_6to1,191081.0,-4.374752890563549,-9.305542218338788,True,14.805542218338788,14.811647966485575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
56,BTCT_D800,35.7,18.0,5.5,35.7,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
57,BTCT_D800,61.2,-4.8,5.5,57.5256574683252,-4.1569900569569,-16.8872441394184,22.6958796918042,6.002,raked_6to1,191081.0,-4.37475289056353,-9.30554221833878,True,14.80554221833878,14.81164796648557,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
