joint,load_case,step_type,U1,U2,U3,R1,R2,R3
81,BAO KT,Min,-0.00547704020219734,-0.007757878039805547,-0.0018028396326480536,5.580462354763816e-05,-1.5929597821812053e-05,-5.587255168184147e-05
83,BAO KT,Max,0.0019813321904223334,0.0023551559672794456,-0.0014738301861166837,4.810573024214583e-05,5.524152296143442e-06,0.0001957711801494124
83,BAO KT,Min,-0.0019734635546337694,-0.009049435491138368,-0.0032245251811553956,-2.966347387036663e-06,-6.01710499779759e-05,-5.509422954131949e-05
85,BAO KT,Max,0.001980891142884864,0.0023025942415240194,-0.0014786397974813484,4.843437359400155e-05,1.9689525256925635e-05,0.00019584069758417624
85,BAO KT,Min,-0.0018216173437972014,-0.0088077256183829,-0.0031850703187743857,-2.5408832438588355e-06,-2.978086284354996e-05,-5.504656244175005e-05
87,BAO KT,Max,-0.00013430285864753075,0.004176418429315007,-0.0010419066775032928,0.0001595721433865655,9.800001744669795e-06,0.00019838275381812368
87,BAO KT,Min,-0.004315843577869109,-0.007880207388017276,-0.0023287131397885874,-4.563938675392021e-05,-7.099476315720498e-05,-5.6187372552421966e-05
89,BAO KT,Max,-3.895820618391319e-05,0.0035462974325406833,-0.0012480794538308278,6.529548800646498e-05,1.0891347280390773e-05,0.00019682024846130205
89,BAO KT,Min,-0.0031914833565140407,-0.007876046120063387,-0.002761504047881754,-2.0117161030170197e-05,-7.81949258404977e-05,-5.484720717593578e-05
91,BAO KT,Max,0.0009119587039488524,0.0029146503333514423,-0.0013795369811320038,0.00012968557695280732,1.1560876443348662e-05,0.00019592982406265298
91,BAO KT,Min,-0.0020797425391674857,-0.008288469165824423,-0.002967999268574296,-5.082208019848031e-05,-7.276637848294968e-05,-5.391622613853837e-05
93,BAO KT,Max,0.0030839367409269693,0.0017294584177807177,-0.0016634169023815447,0.0001760714921242186,1.5481870926906385e-05,0.0001953986775089783
93,BAO KT,Min,-0.0020975430963487162,-0.009594556790889155,-0.003523313324291309,-5.199776071578352e-05,-7.216058865869448e-05,-5.2870997658049286e-05
95,BAO KT,Max,0.004099597169401606,0.0015795083787027329,-0.0019305640158987978,0.00015736338040132827,2.0233797248107315e-05,0.000195917200520813
