h_DN_m,h_DD_m,h_DCT_m,t_BMC_m,f1_khoiluong_Tan,f2_eta_max,TuRun
1.5,1.75,1.4,0.35,3109.62749999999,0.178057618921082,15
1.55,1.75,1.4,0.35,3136.04024999999,0.176092852825289,16
1.6,1.75,1.4,0.35,3162.45299999999,0.175794451661036,20
1.25,1.8,1.4,0.4,3174.97874999999,0.174624767953477,15
1.6,1.8,1.4,0.35,3179.86799999999,0.174255437060031,14
1.25,1.85,1.4,0.4,3192.39374999999,0.172258102838091,17
1.25,1.9,1.4,0.4,3209.80874999999,0.170644444241349,1
1.25,1.95,1.4,0.4,3227.22374999999,0.169110384970535,17
1.3,1.9,1.4,0.4,3236.22149999999,0.168370765749663,11
1.25,2,1.4,0.4,3244.63874999999,0.167649283510051,14
1.3,1.95,1.4,0.4,3253.63649999999,0.165848738574635,2
1.3,1.95,1.45,0.4,3269.62649999999,0.16584626784935,13
1.3,2,1.4,0.4,3271.05149999999,0.163410190068812,10
1.3,2,1.45,0.4,3287.04149999999,0.163408322769397,17
1.35,2,1.4,0.4,3297.46424999999,0.162471589622936,12
1.4,2,1.4,0.4,3323.87699999999,0.161614957962457,17
1.45,2,1.4,0.4,3350.28974999999,0.160830635111737,18
1.5,2,1.4,0.4,3376.70249999999,0.160110281546668,12
1.55,2,1.4,0.4,3403.11524999999,0.159446741612138,18
1.6,2,1.4,0.4,3429.52799999999,0.15883390551211,14
1.65,2,1.4,0.4,3455.94074999999,0.158266576357585,10
1.7,2,1.4,0.4,3482.35349999999,0.157740346045871,7
1.4,2,1.4,0.45,3503.87699999999,0.157547346965875,2
1.75,2,1.4,0.4,3508.76624999999,0.157274331336568,20
1.45,2,1.4,0.45,3530.28974999999,0.15687210721697,11
1.5,2,1.4,0.45,3556.70249999999,0.156250752796353,1
1.55,2,1.4,0.45,3583.11524999999,0.155987746017621,20
1.6,2,1.4,0.45,3609.52799999999,0.155812430890293,2
1.65,2,1.4,0.45,3635.94074999999,0.155654221556361,6
1.7,2,1.4,0.45,3662.35349999999,0.155512101660567,6
1.75,2,1.4,0.45,3688.76624999999,0.155385235929858,13
1.8,2,1.4,0.45,3715.17899999999,0.155272941855632,7
1.85,2,1.4,0.45,3741.59174999999,0.15517466290705,8
1.9,2,1.4,0.45,3768.00449999999,0.155089944031438,1
1.95,2,1.4,0.45,3794.41724999999,0.15501840982465,20
2,2,1.4,0.45,3820.82999999999,0.15495974550658,14
